filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC
Src/Amr/AMReX_Amr.cpp,1489,625,0.42,2446,554,0.226,83,35,0.422,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,12063,0,0,12063,581.0,7.0
Src/Amr/AMReX_Amr.H,21,9,0.429,0,0,,17,9,0.529,8,4.87591240875912,23.5547445255474,0.992700729927007,34,20,322,65,137,808,680,0,9397,0,0,9397,51.0,1.0
Src/Amr/AMReX_extrapolater_2D_K.H,109,0,0.0,132,0,0.0,0,0,,0,5.0,20.0,5.5,2,2,22,0,2,7,4,0,217,0,0,217,60.0,30.0
Src/Amr/AMReX_LevelBld.H,2,1,0.5,0,0,,2,1,0.5,3,2.0,1.0,0.909090909090909,0,11,1,0,11,11,0,0,10284,0,0,10284,1.0,1.0
Src/Amr/AMReX_StateData.cpp,460,97,0.211,420,44,0.105,33,10,0.303,0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,10406,0,0,10406,148.5,4.5
Src/AmrCore/AMReX_AmrCore.H,1,1,1.0,0,0,,1,1,1.0,5,2.83333333333333,11.5,2.33333333333333,6,12,93,0,18,46,72,0,2288,0,0,2288,1.0,1.0
Src/AmrCore/AMReX_AmrParGDB.H,75,24,0.32,12,3,0.25,25,8,0.32,0,2.24,5.16,0.76,1,2,8,6,25,77,2,0,2302,0,0,2302,30.0,1.2
Src/AmrCore/AMReX_FillPatcher.H,232,94,0.405,196,57,0.291,18,9,0.5,0,7.5,62.6666666666667,9.0,19,6,182,16,6,47,114,0,10136,0,0,10136,57.0,9.5
Src/AmrCore/AMReX_FillPatchUtil_I.H,343,180,0.525,464,111,0.239,40,23,0.575,3,4.84375,40.03125,13.125,28,17,174,0,32,205,476,0,201,0,0,201,172.20000000000002,4.2
Src/AmrCore/AMReX_FluxReg_2D_C.H,64,41,0.6409999999999999,50,36,0.72,3,2,0.667,0,4.33333333333333,14.3333333333333,9.0,3,3,20,0,3,9,9,0,21,0,0,21,27.900000000000002,9.3
Src/AmrCore/AMReX_FluxRegister.H,1,1,1.0,0,0,,1,1,1.0,2,3.78787878787879,26.030303030303,3.87878787878788,28,16,147,3,33,221,448,0,0,0,0,0,0.0,0.0
Src/AmrCore/AMReX_Interp_2D_C.H,163,7,0.043,246,8,0.033,0,0,,1,8.55555555555556,70.1111111111111,7.55555555555556,8,9,249,0,9,49,72,0,74,0,0,74,68.39999999999999,7.6
Src/AmrCore/AMReX_Interp_C.H,82,0,0.0,476,0,0.0,0,0,,3,4.7,27.9,7.0,5,10,140,0,10,30,50,0,187,0,0,187,74.0,7.4
Src/AmrCore/AMReX_InterpFaceReg_2D_C.H,38,0,0.0,96,0,0.0,0,0,,0,13.0,56.0,10.0,4,1,56,0,1,6,4,0,30,0,0,30,16.0,16.0
Src/AmrCore/AMReX_Interpolater.cpp,295,42,0.142,346,17,0.049,67,9,0.134,5,0.0,0.0,0.0,0,0,0,12,0,0,0,0,447,0,0,447,144.4,3.8
Src/AmrCore/AMReX_MFInterp_2D_C.H,369,40,0.108,390,30,0.077,0,0,,3,4.0,34.2307692307692,11.0,6,13,88,0,13,52,78,0,140,0,0,140,79.3,6.1
Src/AmrCore/AMReX_MFInterp_C.H,67,9,0.134,360,11,0.031,0,0,,3,7.33333333333333,25.0,7.0,5,9,32,0,9,84,45,0,146,0,0,146,105.3,11.7
Src/Base/AMReX_Arena.cpp,214,129,0.603,360,109,0.303,29,20,0.69,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,14806,0,0,14806,172.9,9.1
Src/Base/AMReX_BCUtil.cpp,17,0,0.0,16,0,0.0,3,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,16863,0,0,16863,6.0,2.0
Src/Base/AMReX_CArena.cpp,245,127,0.518,340,108,0.318,18,9,0.5,0,8.0,38.0,2.0,1,1,38,0,1,7,1,0,14733,0,0,14733,93.5,5.5
Src/Base/AMReX_ConstexprFor.H,4,4,1.0,0,0,,100,100,1.0,0,3.0,7.0,1.0,1,1,7,0,1,2,1,0,27,0,0,27,2.0,2.0
Src/Base/AMReX_CoordSys.cpp,262,4,0.015,192,2,0.01,30,1,0.033,0,2.5,19.5,2.0,3,2,26,0,2,13,6,0,15386,0,0,15386,105.0,3.5
Src/Base/AMReX_CoordSys.H,20,19,0.95,18,9,0.5,13,12,0.923,39,3.125,11.625,1.60416666666667,9,16,60,5,48,160,144,0,11157,0,0,11157,20.0,1.0
Src/Base/AMReX_COORDSYS_2D_C.H,90,0,0.0,122,0,0.0,3,0,0.0,0,14.0,62.6666666666667,5.66666666666667,3,3,76,0,3,14,9,0,15370,0,0,15370,39.900000000000006,13.3
Src/Base/AMReX_Enum.H,78,66,0.846,150,66,0.44,18,14,0.778,2,3.33333333333333,15.6666666666667,0.5,2,6,28,0,6,12,12,0,7957,0,0,7957,13.799999999999999,2.3
Src/Base/AMReX_error_fi.cpp,6,0,0.0,0,0,,3,0,0.0,0,2.0,4.0,1.0,1,3,4,0,3,6,3,0,10295,0,0,10295,3.0,1.0
