filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC
common/h/Architecture.h,13,0,0.0,4,0,0.0,1,0,0.0,4,13.0,17.0,1.0,1,1,17,0,1,2,1,0,11,0,0,11,12.0,12.0
common/h/IBSTree-fast.h,69,0,0.0,123,0,0.0,13,0,0.0,1,2.0,11.0909090909091,0.818181818181818,0,11,32,3,11,11,0,0,0,0,0,0,33.599999999999994,2.8
common/h/ProcReader.h,3,0,0.0,0,0,,1,0,0.0,9,2.0,1.0,0.833333333333333,0,6,1,0,6,6,0,0,10434,0,0,10434,2.0,1.0
common/h/registers/x86_regs.h,2,0,0.0,2,0,0.0,0,0,,18,2.0,1.01459854014599,2.98540145985401,0,137,3,66,137,138,0,0,0,0,0,0,1.0,1.0
common/h/unaligned_memory_access.h,9,2,0.222,106,5,0.047,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,15,0,0,15,6.0,1.0
common/src/arch-aarch64.C,80,0,0.0,40,0,0.0,25,0,0.0,1,2.0,5.0,1.0,0,1,5,3,1,1,0,0,0,0,0,0,45.0,1.8
common/src/arch-power.C,85,0,0.0,51,0,0.0,20,0,0.0,0,3.0,9.0,1.0,2,1,9,0,1,3,2,0,9,0,0,9,42.0,2.1
common/src/arch-x86.C,1623,422,0.26,3140,1016,0.324,39,13,0.3329999999999999,15,14.2631578947368,65.1315789473684,2.47368421052632,10,20,538,32,38,217,200,0,13960,0,2,13958,4.8,1.2
common/src/AST.C,24,0,0.0,70,0,0.0,3,0,0.0,1,0.0,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,15.0,5.0
common/src/debug_common.C,49,12,0.245,30,9,0.3,5,2,0.4,1,3.0,5.4,1.6,0,1,23,5,5,18,0,0,32,0,4,28,20.0,4.0
common/src/dyninst_filesystem.C,57,0,0.0,106,0,0.0,4,0,0.0,7,4.0,28.25,1.0,1,2,44,0,4,7,2,0,11455,0,0,11455,18.0,3.6
common/src/ia32_locations.h,10,10,1.0,0,0,,0,0,,4,2.0,19.0,0.0,0,1,27,23,2,27,0,0,0,0,0,0,2.0,1.0
common/src/IntervalTree.h,77,0,0.0,178,0,0.0,23,0,0.0,5,2.0,4.54545454545455,1.13636363636364,0,22,20,1,22,22,0,0,11598,0,0,11598,42.5,1.7
common/src/linuxHeaders.h,17,2,0.118,14,1,0.071,0,0,,0,2.0,-0.304878048780488,2.30487804878049,7,82,41,0,82,93,574,0,6135,0,0,6135,78.0,1.0
common/src/linuxKludges.C,298,2,0.0069999999999999,242,0,0.0,10,1,0.1,5,2.54545454545455,30.7272727272727,3.27272727272727,6,9,106,0,11,34,54,0,11272,1,0,11272,109.2,8.4
common/src/lprintf.C,14,0,0.0,0,0,,3,0,0.0,1,2.0,2.66666666666667,2.0,1,2,4,1,3,6,2,0,9,0,0,9,3.0,1.0
common/src/MachSyscall.C,54,0,0.0,86,0,0.0,9,0,0.0,1,5.25,813.5,1.0,1,4,3195,11,4,15,4,0,1281,0,0,1281,25.2,2.8
common/src/MappedFile.h,3,2,0.667,10,3,0.3,0,0,,6,4.1,19.15,0.75,0,1,66,10,20,68,0,0,6065,0,0,6065,5.0,1.0
common/src/pfq-rwlock.C,54,43,0.7959999999999999,34,11,0.324,6,6,1.0,0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,10213,0,0,10213,10.2,1.7
common/src/symbolDemangle.c,36,29,0.8059999999999999,26,20,0.769,1,1,1.0,1,2.0,78.0,2.0,1,1,78,0,1,4,1,63,28,0,0,28,15.0,15.0
common/src/symbolDemangleWithCache.C,12,11,0.917,6,5,0.833,1,1,1.0,3,4.0,20.0,2.0,1,1,20,3,1,6,1,0,6456,0,0,6456,4.0,4.0
common/src/Timer.C,72,0,0.0,18,0,0.0,14,0,0.0,7,2.0,1.0,2.0,0,1,1,0,1,1,0,0,14,0,0,14,22.5,1.5
common/src/Timer.h,2,0,0.0,0,0,,0,0,,2,2.35294117647059,5.52941176470588,0.411764705882353,1,6,17,10,17,54,6,0,0,0,0,0,3.0,1.0
common/src/util.C,23,0,0.0,28,0,0.0,2,0,0.0,4,8.5,30.5,3.0,1,2,54,0,2,4,2,0,11136,0,0,11136,20.0,10.0
dataflowAPI/h/ABI.h,3,0,0.0,6,0,0.0,1,0,0.0,6,3.44444444444444,10.6111111111111,0.277777777777778,2,18,37,20,18,30,36,0,12884,0,0,12884,2.0,1.0
dataflowAPI/rose/RegisterDescriptor.h,33,0,0.0,255,0,0.0,2,0,0.0,29,2.17647058823529,3.70588235294118,0.764705882352941,1,6,10,5,17,40,6,0,11878,0,0,11878,14.0,1.0
dataflowAPI/rose/registers/convert.C,51,37,0.725,32,23,0.7190000000000001,1,1,1.0,0,22.0,110.0,1.0,1,1,110,0,1,10,1,0,603,0,0,603,22.0,22.0
dataflowAPI/rose/semantics/BaseSemantics2.C,417,0,0.0,1090,0,0.0,69,0,0.0,33,2.0,4.33333333333333,1.91666666666667,12,12,5,0,12,34,144,0,20059,0,0,20059,124.2,1.8
dataflowAPI/rose/semantics/Registers.C,206,0,0.0,396,0,0.0,27,0,0.0,0,2.0,5.0,2.0,3,2,5,0,2,6,6,0,17071,0,0,17071,69.6,2.9
dataflowAPI/rose/semantics/RegisterStateGeneric.C,499,0,0.0,940,0,0.0,47,0,0.0,0,2.0,3.5,1.5,2,2,4,0,2,5,4,0,22129,0,0,22129,141.0,3.0
dataflowAPI/rose/semantics/SymEvalSemantics.C,413,0,0.0,528,0,0.0,47,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,18702,0,0,18702,117.5,2.5
dataflowAPI/rose/semanticsModule.h,8,0,0.0,13,0,0.0,1,0,0.0,0,6.0,13.0,1.0,1,1,13,0,1,3,1,0,18459,1,0,18459,5.0,5.0
dataflowAPI/rose/SgAsmPowerpcInstruction.h,1,0,0.0,4,0,0.0,1,0,0.0,3,2.0,4.71428571428571,0.714285714285714,0,5,14,6,7,12,0,0,14425,0,0,14425,1.0,1.0
