filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
HDF5Examples/C/H5D/h5ex_d_alloc.c,54,54,1.0,24,14,0.583,1,1,1.0,0,4,111.0,1.0,8,1,111,0,1,16,8,50,0,0,7,7.0,7.0,7
HDF5Examples/C/H5D/h5ex_d_checksum.c,75,56,0.747,41,23,0.561,1,1,1.0,0,16,166.0,1.0,10,1,166,0,1,21,10,73,0,0,14,16.0,16.0,14
HDF5Examples/C/H5D/h5ex_d_chunk.c,99,91,0.919,46,31,0.674,1,1,1.0,0,18,194.0,1.0,11,1,194,0,1,23,11,75,0,0,11,18.0,18.0,11
HDF5Examples/C/H5D/h5ex_d_compact.c,53,45,0.8490000000000001,30,17,0.5670000000000001,1,1,1.0,0,12,119.0,1.0,9,1,119,0,1,19,9,50,0,0,9,12.0,12.0,9
HDF5Examples/C/H5D/h5ex_d_extern.c,43,43,1.0,24,16,0.667,1,1,1.0,0,6,105.0,1.0,9,1,105,0,1,19,9,54,0,0,5,5.0,5.0,5
HDF5Examples/C/H5D/h5ex_d_fillval.c,58,58,1.0,44,30,0.682,1,1,1.0,0,10,127.0,1.0,9,1,127,0,1,18,9,61,0,0,6,9.0,9.0,6
HDF5Examples/C/H5D/h5ex_d_hyper.c,78,78,1.0,36,28,0.778,1,1,1.0,0,12,156.0,1.0,9,1,156,0,1,18,9,68,0,0,6,11.0,11.0,6
HDF5Examples/C/H5D/h5ex_d_nbit.c,76,62,0.816,39,22,0.564,1,1,1.0,0,15,165.0,1.0,11,1,165,0,1,25,11,71,0,0,13,15.0,15.0,13
HDF5Examples/C/H5D/h5ex_d_rdwr.c,33,33,1.0,20,14,0.7,1,1,1.0,0,6,81.0,1.0,7,1,81,0,1,14,7,42,0,0,4,5.0,5.0,4
HDF5Examples/C/H5D/h5ex_d_sofloat.c,87,73,0.8390000000000001,49,32,0.653,1,1,1.0,0,20,179.0,1.0,10,1,179,0,1,21,10,73,0,0,16,20.0,20.0,16
HDF5Examples/C/H5D/h5ex_d_soint.c,71,57,0.8029999999999999,39,22,0.564,1,1,1.0,0,15,154.0,1.0,10,1,154,0,1,21,10,66,0,0,13,15.0,15.0,13
HDF5Examples/C/H5D/h5ex_d_transform.c,55,55,1.0,40,28,0.7,1,1,1.0,0,10,129.0,1.0,9,1,129,0,1,17,9,65,0,0,6,9.0,9.0,6
HDF5Examples/C/H5D/h5ex_d_unlimadd.c,89,89,1.0,44,32,0.727,1,1,1.0,0,12,210.0,1.0,12,1,210,0,1,24,12,100,0,0,9,11.0,11.0,9
HDF5Examples/C/H5D/h5ex_d_unlimmod.c,79,79,1.0,44,32,0.727,1,1,1.0,0,12,185.0,1.0,10,1,185,0,1,22,10,89,0,0,9,11.0,11.0,9
HDF5Examples/C/H5G/h5ex_g_compact.c,51,39,0.765,14,4,0.286,1,1,1.0,0,10,106.0,1.0,8,1,106,0,1,14,8,43,0,0,12,9.0,9.0,12
HDF5Examples/C/H5G/h5ex_g_corder.c,44,44,1.0,10,7,0.7,1,1,1.0,0,4,112.0,1.0,11,1,112,0,1,16,11,58,0,0,5,3.0,3.0,5
HDF5Examples/C/H5G/h5ex_g_create.c,11,11,1.0,0,0,,1,1,1.0,0,2,32.0,1.0,5,1,32,0,1,7,5,19,0,0,0,1.0,1.0,0
HDF5Examples/C/H5G/h5ex_g_intermediate.c,30,24,0.8,10,5,0.5,2,2,1.0,0,4,37.0,2.5,8,1,47,0,2,13,8,35,0,0,7,7.0,3.5,7
HDF5Examples/C/H5G/h5ex_g_iterate.c,24,22,0.917,4,3,0.75,2,2,1.0,0,'3.5',27.0,2.5,4,1,31,0,2,9,4,25,0,0,6,6.0,3.0,6
