filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
src/blas/dasum.c,35,0,0.0,36,0,0.0,1,0,0.0,0,12,74.0,3.0,0,1,74,0,1,1,0,20,0,0,22,10.0,10.0,22
src/blas/daxpy.c,39,0,0.0,22,0,0.0,1,0,0.0,3,14,81.0,6.0,0,1,81,0,1,1,0,21,0,0,22,12.0,12.0,22
src/blas/dcopy.c,46,0,0.0,20,0,0.0,1,0,0.0,3,13,79.0,5.0,0,1,79,0,1,1,0,20,0,0,22,11.0,11.0,22
src/blas/ddot.c,49,0,0.0,20,0,0.0,1,0,0.0,3,14,83.0,5.0,0,1,83,0,1,1,0,20,0,0,22,11.0,11.0,22
src/blas/dgemm.c,123,0,0.0,110,0,0.0,1,0,0.0,7,47,362.0,13.0,0,1,362,0,1,1,0,130,0,0,29,54.0,54.0,29
src/blas/dgemv.c,112,0,0.0,78,0,0.0,1,0,0.0,7,35,277.0,11.0,0,1,277,0,1,1,0,99,0,0,28,39.0,39.0,28
src/blas/dger.c,63,0,0.0,38,0,0.0,1,0,0.0,2,18,138.0,9.0,0,1,138,0,1,1,0,67,0,0,23,19.0,19.0,23
src/blas/dnrm2.c,70,0,0.0,39,0,0.0,1,0,0.0,1,33,191.0,3.0,0,1,191,0,1,1,0,68,0,0,24,15.0,15.0,24
src/blas/drot.c,31,0,0.0,14,0,0.0,1,0,0.0,1,9,64.0,7.0,0,1,64,0,1,1,0,18,0,0,22,8.0,8.0,22
src/blas/dscal.c,29,0,0.0,18,0,0.0,1,0,0.0,12,11,69.0,4.0,0,1,69,0,1,1,0,21,0,0,22,10.0,10.0,22
src/blas/dswap.c,54,0,0.0,20,0,0.0,1,0,0.0,4,13,77.0,5.0,0,1,77,0,1,1,0,17,0,0,22,11.0,11.0,22
src/blas/dsymm.c,139,0,0.0,88,0,0.0,1,0,0.0,1,38,285.0,12.0,0,1,285,0,1,1,0,126,0,0,29,42.0,42.0,29
src/blas/dsymv.c,117,0,0.0,70,0,0.0,1,0,0.0,2,31,278.0,10.0,0,1,278,0,1,1,0,99,0,0,26,35.0,35.0,26
src/blas/dsyr2.c,94,0,0.0,70,0,0.0,1,0,0.0,2,27,246.0,9.0,0,1,246,0,1,1,0,94,0,0,26,35.0,35.0,26
src/blas/dsyr2k.c,175,0,0.0,118,0,0.0,1,0,0.0,2,51,327.0,12.0,0,1,327,0,1,1,0,133,0,0,30,58.0,58.0,30
src/blas/dsyrk.c,129,0,0.0,110,0,0.0,1,0,0.0,1,50,345.0,10.0,0,1,345,0,1,1,0,121,0,0,30,55.0,55.0,30
src/blas/dtrmm.c,219,0,0.0,144,0,0.0,1,0,0.0,4,67,369.0,11.0,0,1,369,0,1,1,0,127,0,0,35,71.0,71.0,35
src/blas/dtrmv.c,164,0,0.0,100,0,0.0,1,0,0.0,3,47,272.0,8.0,0,1,272,0,1,1,0,95,0,0,34,50.0,50.0,34
src/blas/dtrsm.c,202,0,0.0,164,0,0.0,1,0,0.0,9,77,443.0,11.0,0,1,443,0,1,1,0,138,0,0,35,81.0,81.0,35
src/blas/dtrsv.c,149,0,0.0,100,0,0.0,1,0,0.0,1,47,318.0,8.0,0,1,318,0,1,1,0,101,0,0,34,50.0,50.0,34
src/blas/f2c.c,85,0,0.0,46,0,0.0,7,0,0.0,14,'5.14285714285714',16.8571428571429,2.85714285714286,0,7,36,0,7,7,0,7,0,0,24,30.800000000000004,4.4,24
src/blas/idamax.c,33,0,0.0,28,0,0.0,1,0,0.0,1,12,69.0,3.0,0,1,69,0,1,1,0,17,0,0,22,9.0,9.0,22
src/blas/lsame.c,36,0,0.0,46,0,0.0,1,0,0.0,0,12,102.0,2.0,0,1,102,0,1,1,0,47,0,0,22,28.0,28.0,22
src/blas/xerbla.c,4,0,0.0,0,0,,1,0,0.0,0,2,58.0,2.0,1,1,58,0,1,2,1,46,0,0,23,1.0,1.0,23
src/distributed_ls/Euclid/blas_dh.c,67,0,0.0,23,0,0.0,6,0,0.0,4,2,20.0,3.5,2,6,31,0,6,13,12,7,0,0,42,22.8,3.8,42
src/distributed_ls/Euclid/Euclid_apply.c,59,0,0.0,39,0,0.0,4,0,0.0,0,'4.75',30.0,2.75,5,1,89,0,4,30,5,40,0,0,46,16.8,4.2,46
src/distributed_ls/Euclid/Euclid_dh.c,492,0,0.0,307,0,0.0,15,0,0.0,5,'3.8125',56.5,1.8125,15,6,168,0,16,263,90,163,0,0,291,112.0,7.0,291
src/distributed_ls/Euclid/ExternalRows_dh.c,349,0,0.0,232,0,0.0,14,0,0.0,3,'4.5',33.7142857142857,1.42857142857143,10,5,64,0,14,189,50,69,0,0,114,75.60000000000001,5.4,114
src/distributed_ls/Euclid/Factor_dh.c,772,0,0.0,529,0,0.0,25,0,0.0,6,'3.32',41.36,2.96,18,14,171,1,25,292,252,126,0,0,228,175.0,7.0,228
src/distributed_ls/Euclid/getRow_dh.c,95,0,0.0,59,0,0.0,5,0,0.0,7,'2.16666666666667',21.6666666666667,3.83333333333333,4,4,57,0,6,26,16,44,0,0,46,42.5,2.5,46
src/distributed_ls/Euclid/globalObjects.c,204,0,0.0,122,0,0.0,16,0,0.0,1,'4.88235294117647',16.0,2.23529411764706,7,1,36,23,17,101,7,55,0,0,112,65.6,4.1,112
src/distributed_ls/Euclid/ilu_mpi_bj.c,184,0,0.0,101,0,0.0,3,0,0.0,1,'8.66666666666667',94.3333333333333,7.0,10,1,126,0,3,43,10,60,0,0,43,38.1,12.7,43
src/distributed_ls/Euclid/ilu_mpi_pilu.c,260,0,0.0,173,0,0.0,3,0,0.0,0,'10.3333333333333',126.0,4.66666666666667,14,1,190,0,3,83,14,60,0,0,57,57.900000000000006,19.3,57
src/distributed_ls/Euclid/ilu_seq.c,512,0,0.0,307,0,0.0,8,0,0.0,1,'6.375',99.0,4.75,11,1,208,0,8,130,11,135,0,0,70,111.6,12.4,70
src/distributed_ls/Euclid/io_dh.c,44,0,0.0,4,0,0.0,6,0,0.0,7,2,8.28571428571429,4.0,2,7,14,0,7,9,14,15,0,0,60,7.800000000000001,1.3,60
src/distributed_ls/Euclid/krylov_dh.c,133,0,0.0,104,0,0.0,2,0,0.0,2,2,116.0,5.0,8,2,144,0,2,26,16,51,0,0,73,15.0,7.5,73
src/distributed_ls/Euclid/Mat_dh.c,827,0,0.0,643,0,0.0,32,0,0.0,5,'7.33333333333333',39.6666666666667,2.6969696969697,12,15,147,1,33,341,180,117,0,0,257,227.7,6.9,257
src/distributed_ls/Euclid/mat_dh_private.c,946,0,0.0,815,0,0.0,27,0,0.0,4,'5.33333333333333',52.2222222222222,4.0,9,11,139,0,27,138,99,106,0,0,347,291.2,10.4,347
src/distributed_ls/Euclid/MatGenFD.c,511,0,0.0,244,0,0.0,13,0,0.0,3,'8.07692307692308',59.0769230769231,4.69230769230769,7,5,193,1,13,133,35,132,0,0,113,120.4,8.6,113
src/distributed_ls/Euclid/Numbering_dh.c,99,0,0.0,69,0,0.0,4,0,0.0,3,2,36.0,2.0,7,4,86,0,4,44,28,38,0,0,50,16.8,4.2,50
src/distributed_ls/Euclid/shellSort_dh.c,35,0,0.0,16,0,0.0,2,0,0.0,4,'3.33333333333333',20.6666666666667,2.0,0,3,21,0,3,3,0,9,0,0,33,15.0,5.0,33
src/distributed_ls/Euclid/sig_dh.c,25,0,0.0,6,0,0.0,2,0,0.0,1,2,14.5,1.0,3,1,20,3,2,12,3,20,0,0,43,5.0,2.5,43
src/distributed_ls/Euclid/SortedSet_dh.c,46,0,0.0,30,0,0.0,4,0,0.0,1,2,15.0,2.0,2,4,34,0,4,14,8,14,0,0,47,8.8,2.2,47
src/distributed_ls/Euclid/SubdomainGraph_dh.c,1011,0,0.0,834,0,0.0,23,0,0.0,4,'11.2083333333333',67.4583333333333,2.66666666666667,11,9,200,0,24,315,99,311,0,0,309,264.0,11.0,309
src/distributed_ls/Euclid/Timer_dh.c,38,0,0.0,5,0,0.0,7,0,0.0,2,2,9.42857142857143,1.0,3,7,25,0,7,13,21,19,0,0,52,23.8,1.4,52
src/distributed_ls/Euclid/Vec_dh.c,175,0,0.0,141,0,0.0,11,0,0.0,4,2,22.0,2.0,6,8,78,0,11,55,48,27,0,0,92,47.3,4.3,92
src/distributed_ls/ParaSails/ConjGrad.c,75,0,0.0,20,0,0.0,5,0,0.0,0,'5.66666666666667',43.1666666666667,4.5,7,2,117,0,6,31,14,38,0,0,24,17.0,3.4,24
src/distributed_ls/ParaSails/DiagScale.c,113,0,0.0,34,0,0.0,5,0,0.0,2,3,34.1666666666667,3.5,6,1,96,3,6,42,6,68,0,0,28,21.0,4.2,28
src/distributed_ls/ParaSails/FGmres.c,112,0,0.0,38,0,0.0,7,0,0.0,0,'2.28571428571429',23.4285714285714,4.14285714285714,7,1,117,0,7,27,7,22,0,0,23,25.9,3.7,23
src/distributed_ls/ParaSails/Hash.c,67,0,0.0,18,0,0.0,7,0,0.0,1,'3.28571428571429',14.7142857142857,1.57142857142857,1,1,24,5,7,33,1,51,0,0,5,16.8,2.4,5
src/distributed_ls/ParaSails/LoadBal.c,220,0,0.0,58,0,0.0,7,0,0.0,1,'6.14285714285714',50.5714285714286,5.14285714285714,6,1,90,5,7,59,6,67,0,0,5,37.8,5.4,5
src/distributed_ls/ParaSails/Matrix.c,468,0,0.0,130,0,0.0,18,0,0.0,10,'3.22222222222222',41.7777777777778,2.55555555555556,5,1,123,22,18,241,5,132,0,0,60,88.2,4.9,60
src/distributed_ls/ParaSails/Mem.c,57,0,0.0,14,0,0.0,4,0,0.0,5,'3.5',20.75,1.75,2,4,45,7,4,7,8,51,0,0,15,10.0,2.5,15
src/distributed_ls/ParaSails/Numbering.c,93,0,0.0,28,0,0.0,5,0,0.0,5,2,30.2,2.4,5,5,69,0,5,48,25,55,0,0,8,20.0,4.0,8
src/distributed_ls/ParaSails/OrderStat.c,55,0,0.0,18,0,0.0,4,0,0.0,3,3,21.0,3.0,0,2,30,0,4,6,0,35,0,0,3,14.0,3.5,3
src/distributed_ls/ParaSails/ParaSails.c,965,0,0.0,266,0,0.0,28,0,0.0,4,'5.42857142857143',62.75,4.57142857142857,14,1,201,15,28,366,14,385,1,0,110,185.6,6.4,110
src/distributed_ls/ParaSails/PrunedRows.c,51,0,0.0,22,0,0.0,5,0,0.0,1,'3.2',15.2,3.0,5,1,45,4,5,28,5,44,0,0,5,14.0,2.8,5
src/distributed_ls/ParaSails/RowPatt.c,89,0,0.0,24,0,0.0,8,0,0.0,1,'3.5',16.5,2.25,2,1,22,7,8,46,2,54,0,0,3,20.8,2.6,3
src/distributed_ls/ParaSails/StoredRows.c,51,0,0.0,6,0,0.0,6,0,0.0,1,'2.5',14.0,2.83333333333333,4,1,34,8,6,41,4,50,0,0,6,10.2,1.7,6
src/distributed_ls/pilut/comm.c,30,0,0.0,0,0,,6,0,0.0,0,2,7.16666666666667,2.0,1,6,8,0,6,12,6,39,0,0,2,6.0,1.0,2
src/distributed_ls/pilut/debug.c,142,0,0.0,86,0,0.0,8,0,0.0,4,2,25.25,3.625,6,5,51,0,8,44,30,45,0,0,8,51.2,6.4,8
src/distributed_ls/pilut/distributed_qsort.c,106,0,0.0,60,0,0.0,2,0,0.0,0,16,86.0,3.0,1,1,108,4,2,12,1,56,0,0,5,32.0,16.0,5
src/distributed_ls/pilut/distributed_qsort_si.c,186,0,0.0,108,0,0.0,4,0,0.0,3,'9.5',70.5,2.0,0,2,87,0,4,6,0,81,0,0,53,58.0,14.5,53
src/distributed_ls/pilut/HYPRE_DistributedMatrixPilutSolver.c,184,0,0.0,8,0,0.0,12,0,0.0,2,2,34.9166666666667,1.83333333333333,10,12,109,0,12,68,120,77,0,0,3,27.6,2.3,3
src/distributed_ls/pilut/ilut.c,63,0,0.0,30,0,0.0,2,0,0.0,3,2,69.0,5.0,11,1,124,0,2,37,11,33,0,0,39,24.0,12.0,39
src/distributed_ls/pilut/parilut.c,720,0,0.0,272,0,0.0,15,0,0.0,1,'9.4',80.1333333333333,5.26666666666667,12,1,180,0,15,207,12,268,0,0,84,180.0,12.0,84
src/distributed_ls/pilut/parutil.c,79,0,0.0,30,0,0.0,10,0,0.0,1,'3.5',11.6,2.5,2,5,18,0,10,18,10,55,0,0,59,27.5,2.5,59
src/distributed_ls/pilut/pblas1.c,41,0,0.0,14,0,0.0,6,0,0.0,0,2,9.5,4.0,5,6,19,0,6,19,30,38,0,0,1,13.2,2.2,1
src/distributed_ls/pilut/serilut.c,344,0,0.0,178,0,0.0,6,0,0.0,1,'12.3333333333333',119.5,6.0,13,1,304,0,6,74,13,167,0,0,59,103.8,17.3,59
src/distributed_ls/pilut/trifactor.c,362,0,0.0,180,0,0.0,3,0,0.0,1,27,200.0,6.0,8,2,323,0,3,96,16,124,0,0,49,102.9,34.3,49
src/distributed_ls/pilut/util.c,98,0,0.0,42,0,0.0,12,0,0.0,3,2,11.0,2.25,3,9,27,0,12,24,27,52,0,0,51,31.200000000000003,2.6,51
src/distributed_matrix/distributed_matrix.c,119,0,0.0,48,0,0.0,17,0,0.0,0,'3.23529411764706',12.8823529411765,1.94117647058824,3,17,30,0,17,40,51,71,0,0,9,47.6,2.8,9
src/distributed_matrix/distributed_matrix_ISIS.c,28,0,0.0,0,0,,6,0,0.0,2,2,21.1666666666667,2.66666666666667,1,6,59,0,6,9,6,33,0,0,16,18.0,3.0,16
src/distributed_matrix/distributed_matrix_parcsr.c,34,0,0.0,6,0,0.0,6,0,0.0,0,'2.5',11.8333333333333,3.0,0,6,20,0,6,6,0,36,0,0,2,10.2,1.7,2
src/distributed_matrix/distributed_matrix_PETSc.c,33,0,0.0,0,0,,5,0,0.0,0,'2.6',20.0,3.0,0,5,29,0,5,5,0,38,0,0,15,13.0,2.6,15
src/distributed_matrix/HYPRE_distributed_matrix.c,68,0,0.0,0,0,,20,0,0.0,13,2,6.45,2.05,1,20,12,0,20,36,20,74,0,0,16,20.0,1.0,16
