filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC,function_total,function_covered,function_percent
config/config.hpp,2,0,0.0,0,0,,0,2.0,4.0,1.0,0,2,4,0,2,2,0,0,0,0,0,0,2.0,1.0,2,2,1.0
fem/bilinearform_ext.cpp,970,0,0.0,1536,0,0.0,0,4.0,22.0,6.0,5,1,22,0,1,8,5,0,17533,0,0,17533,318.6,5.4,77,60,0.779
fem/bounds.hpp,1,0,0.0,0,0,,1,8.41666666666667,56.75,2.75,15,11,181,20,12,62,165,0,15196,0,0,15196,3.0,1.0,1,0,0.0
fem/ceed/interface/operator.hpp,1,0,0.0,0,0,,17,2.75,23.0,1.5,3,4,31,0,4,18,12,0,10966,0,0,10966,3.9,1.3,1,0,0.0
fem/ceed/interface/util.cpp,3,0,0.0,0,0,,0,4.0,17.5,0.5,1,2,31,0,2,3,2,0,15564,0,0,15564,33.6,2.4,2,2,1.0
fem/coefficient.cpp,880,0,0.0,1984,0,0.0,9,4.0,20.2857142857143,3.42857142857143,14,5,41,0,7,62,70,0,21682,0,0,21682,374.00000000000006,2.2,168,80,0.476
fem/dgmassinv.cpp,176,0,0.0,1344,0,0.0,0,2.0,31.0,0.0,1,1,31,0,1,2,1,0,18686,0,0,18686,37.5,2.5,67,47,0.701
fem/dgmassinv.hpp,2,0,0.0,4,0,0.0,1,3.26666666666667,16.2,1.93333333333333,21,8,143,15,15,91,168,0,15198,0,0,15198,1.0,1.0,2,1,0.5
fem/dgmassinv_kernels.hpp,90,0,0.0,122,0,0.0,1,5.125,35.875,6.5,5,8,55,0,8,28,40,0,17168,0,0,17168,60.8,7.6,66,40,0.606
fem/doftrans.cpp,127,0,0.0,320,0,0.0,8,4.0,14.0,3.0,2,2,14,0,2,10,4,0,21139,0,0,21139,59.400000000000006,5.4,11,11,1.0
fem/fe/face_map_utils.cpp,52,0,0.0,108,0,0.0,10,5.09090909090909,22.3636363636364,4.63636363636364,4,3,53,0,11,23,12,0,10926,0,0,10926,27.9,9.3,3,3,1.0
fem/fe/fe_base.cpp,1307,0,0.0,3419,0,0.0,4,2.0,15.0,3.0,2,1,15,0,1,4,2,0,15042,0,0,15042,444.4,4.4,102,63,0.618
fem/fe/fe_pyramid.hpp,52,0,0.0,128,0,0.0,6,2.6,12.424,3.928,11,97,70,38,125,402,1067,0,13897,0,0,13897,38.5,1.1,28,28,1.0
fem/geom.cpp,1076,0,0.0,1866,0,0.0,42,4.33333333333333,11.1666666666667,2.5,4,6,25,2,6,12,24,0,21620,0,0,21620,407.5,16.3,33,17,0.515
fem/gridfunc.cpp,2400,0,0.0,6077,0,0.0,2,8.66666666666667,65.4444444444444,5.0,28,7,204,0,9,117,196,0,18918,0,0,18918,596.6999999999999,5.1,117,67,0.573
fem/hybridization.hpp,3,0,0.0,0,0,,1,7.04347826086957,42.9565217391304,1.26086956521739,24,2,233,15,23,212,48,0,15556,0,0,15556,10.0,1.0,2,0,0.0
fem/hybridization_ext.hpp,1,0,0.0,0,0,,0,8.1875,68.0625,1.375,26,2,266,18,16,315,52,0,10921,0,0,10921,1.0,1.0,1,0,0.0
fem/integ/bilininteg_convection_ea.cpp,138,0,0.0,1106,0,0.0,0,8.33333333333333,67.6666666666667,8.0,6,3,78,0,3,26,18,0,15775,0,0,15775,66.0,16.5,27,6,0.222
fem/integ/bilininteg_convection_pa.cpp,807,0,0.0,4592,0,0.0,0,14.6923076923077,109.769230769231,9.53846153846154,13,7,201,0,13,121,91,0,16505,0,0,16505,251.6,14.8,65,28,0.431
fem/integ/bilininteg_dgdiffusion_pa.cpp,495,0,0.0,3036,0,0.0,0,8.44444444444444,102.555555555556,8.66666666666667,16,7,283,0,9,79,112,0,16127,0,0,16127,162.5,12.5,31,16,0.516
fem/integ/bilininteg_dgtrace_ea.cpp,259,0,0.0,1250,0,0.0,0,6.0,53.1666666666667,6.83333333333333,6,6,96,0,6,44,36,0,15891,0,0,15891,89.6,11.2,40,12,0.3
fem/integ/bilininteg_dgtrace_pa.cpp,536,0,0.0,2700,0,0.0,0,13.5454545454545,83.9090909090909,8.90909090909091,14,5,153,0,11,106,70,0,16296,0,0,16296,209.6,13.1,50,24,0.48
fem/integ/bilininteg_diffusion_ea.cpp,159,0,0.0,1132,0,0.0,0,8.33333333333333,73.3333333333333,8.0,6,3,96,0,3,25,18,0,15805,0,0,15805,66.0,16.5,27,7,0.259
fem/integ/bilininteg_diffusion_kernels.cpp,176,0,0.0,278,0,0.0,3,4.75,66.0,7.75,9,1,119,0,4,29,9,0,16593,0,0,16593,59.4,6.6,8,6,0.75
fem/integ/bilininteg_diffusion_patch.cpp,579,0,0.0,2464,0,0.0,1,6.5,106.0,11.5,7,2,120,0,2,14,14,0,22259,0,0,22259,191.8,27.4,8,6,0.75
fem/integ/bilininteg_elasticity_kernels.cpp,74,0,0.0,127,0,0.0,2,8.42857142857143,54.8571428571429,9.28571428571429,14,7,133,0,7,63,98,0,15850,0,0,15850,23.2,5.8,4,0,0.0
fem/integ/bilininteg_gradient_pa.cpp,423,0,0.0,1098,0,0.0,0,12.5,98.6,9.9,8,4,246,0,10,72,32,0,16306,0,0,16306,171.6,13.2,18,18,1.0
fem/integ/bilininteg_hcurl_kernels.cpp,454,0,0.0,1086,0,0.0,5,23.7272727272727,181.409090909091,9.68181818181818,8,22,584,0,22,171,176,0,17636,0,0,17636,230.4,19.2,24,24,1.0
fem/integ/bilininteg_hcurlhdiv_kernels.cpp,302,0,0.0,678,0,0.0,3,30.8333333333333,212.666666666667,11.3333333333333,6,6,366,0,6,46,36,0,16660,0,0,16660,164.8,41.2,8,8,1.0
fem/integ/bilininteg_hdiv_ea.cpp,164,0,0.0,1054,0,0.0,0,11.5,108.5,9.0,6,2,120,0,2,20,12,0,15768,0,0,15768,83.2,20.8,12,8,0.667
fem/integ/bilininteg_hdiv_kernels.cpp,838,0,0.0,2078,0,0.0,3,16.0869565217391,102.739130434783,8.78260869565217,9,21,286,0,23,170,189,0,16848,0,0,16848,432.6,20.6,41,35,0.8540000000000001
fem/integ/bilininteg_interp_pa.cpp,764,0,0.0,2084,0,0.0,0,27.4166666666667,136.666666666667,7.0,5,12,226,0,12,84,60,0,16322,0,0,16322,365.4,20.3,30,22,0.733
fem/integ/bilininteg_mixedvecgrad_pa.cpp,346,0,0.0,960,0,0.0,0,27.0,157.5,10.0,5,4,198,0,4,32,20,0,16723,0,0,16723,139.29999999999998,19.9,11,11,1.0
fem/integ/bilininteg_vecdiffusion_pa.cpp,432,0,0.0,1181,0,0.0,0,11.375,75.75,7.75,9,4,190,0,8,61,36,0,16312,0,0,16312,148.5,13.5,21,18,0.857
fem/integ/bilininteg_vecdiv_pa.cpp,392,0,0.0,1004,0,0.0,0,13.7,98.1,9.3,8,4,249,0,10,69,32,0,16199,0,0,16199,175.5,13.5,17,17,1.0
fem/integ/bilininteg_vecmass_pa.cpp,255,0,0.0,724,0,0.0,0,13.6666666666667,66.6666666666667,7.83333333333333,6,2,143,0,6,40,12,0,15923,0,0,15923,116.1,12.9,15,15,1.0
fem/integ/lininteg_boundary.cpp,128,0,0.0,1236,0,0.0,0,13.6666666666667,63.3333333333333,10.0,13,3,80,0,3,29,39,0,21319,0,0,21319,74.0,14.8,23,7,0.304
fem/integ/lininteg_boundary_flux.cpp,91,0,0.0,884,0,0.0,0,11.0,46.6666666666667,7.0,12,3,60,0,3,25,36,0,21282,0,0,21282,58.0,14.5,22,6,0.273
fem/integ/lininteg_domain.cpp,137,0,0.0,1600,0,0.0,0,15.0,72.3333333333333,9.0,14,3,94,0,3,32,42,0,21306,0,0,21306,76.0,15.2,23,17,0.7390000000000001
fem/integ/lininteg_domain_grad.cpp,185,0,0.0,2364,0,0.0,0,15.3333333333333,98.0,9.0,14,3,149,0,3,32,42,0,21402,0,0,21402,81.0,16.2,23,13,0.565
fem/integ/lininteg_domain_vectorfe.cpp,174,0,0.0,2168,0,0.0,0,13.3333333333333,101.333333333333,8.33333333333333,14,3,151,0,3,33,42,0,21413,0,0,21413,84.8,21.2,19,6,0.316
fem/integ/nonlininteg_vecconvection_pa.cpp,306,0,0.0,548,0,0.0,0,20.0,224.666666666667,8.66666666666667,8,3,304,0,3,27,24,0,16174,0,0,16174,93.0,18.6,8,8,1.0
fem/integrator.hpp,7,0,0.0,2,0,0.0,133,2.4,4.4,1.2,2,2,25,2,10,27,4,0,13975,0,0,13975,9.6,1.2,6,6,1.0
fem/intrules.cpp,942,0,0.0,1330,0,0.0,132,0.0,0.0,0.0,0,0,0,2,0,0,0,0,21800,0,0,21800,285.2,6.2,35,32,0.914
fem/kernels.hpp,749,0,0.0,1266,0,0.0,0,2.52083333333333,25.0833333333333,5.02083333333333,2,38,69,0,48,83,76,0,10668,0,0,10668,84.0,1.5,478,179,0.374
fem/linearform.hpp,11,0,0.0,44,0,0.0,29,3.61111111111111,11.7222222222222,0.777777777777778,13,5,170,15,36,173,65,0,16697,0,0,16697,18.0,1.0,8,7,0.875
fem/linearform_ext.hpp,1,0,0.0,0,0,,1,5.25,39.25,0.25,9,2,92,9,4,50,18,0,10921,0,0,10921,1.0,1.0,1,1,1.0
fem/lor/lor.cpp,210,0,0.0,464,0,0.0,1,3.33333333333333,14.0,1.0,3,3,19,0,3,12,9,0,17182,0,0,17182,95.7,3.3,27,24,0.889
fem/lor/lor_batched.cpp,260,0,0.0,491,0,0.0,1,4.7,11.7,2.2,9,10,21,0,10,28,90,0,18320,0,0,18320,98.6,5.8,96,35,0.365
fem/lor/lor_h1.hpp,4,0,0.0,4,0,0.0,0,17.3333333333333,161.666666666667,1.66666666666667,11,3,312,0,3,45,33,0,17565,0,0,17565,1.0,1.0,1,1,1.0
fem/lor/lor_nd.hpp,4,0,0.0,4,0,0.0,0,17.3333333333333,176.666666666667,1.66666666666667,13,3,345,0,3,48,39,0,17541,0,0,17541,1.0,1.0,1,1,1.0
