filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
examples/cpi.c,31,0,0.0,6,0,0.0,2,0,0.0,0,'3.5',24,'1.5',2,1,'44',0,2,5,2,5,0,0,35,5.0,2.5,35
modules/json-c/arraylist.c,64,0,0.0,38,0,0.0,10,0,0.0,1,'3.7','9.1',2,1,8,'22',0,10,35,8,11,31,0,31,29.0,2.9,0
modules/json-c/debug.c,22,0,0.0,2,0,0.0,6,0,0.0,0,2,'4.83333333333333','1.5',0,4,'9',2,6,10,0,10,0,0,16,7.199999999999999,1.2,16
modules/json-c/json_c_version.c,4,0,0.0,0,0,,2,0,0.0,0,2,4,1,0,2,'4',0,2,2,0,6,6,0,6,2.0,1.0,0
modules/json-c/json_object.c,779,81,0.104,487,24,0.049,78,13,0.1669999999999999,24,'4.58227848101266','16.379746835443','2.13924050632911',8,4,'93',21,79,400,32,112,1,1,320,328.0,4.1,321
modules/json-c/json_object_iterator.c,30,0,0.0,0,0,,7,0,0.0,0,2,'9.71428571428571','1.14285714285714',2,1,'15',2,7,21,2,76,8,0,8,7.0,1.0,0
modules/json-c/json_pointer.c,177,0,0.0,94,0,0.0,9,0,0.0,1,'7.33333333333333','32.3333333333333','3.22222222222222',1,1,'52',0,9,29,1,30,110,0,110,55.8,6.2,0
modules/json-c/json_tokener.c,533,134,0.251,537,55,0.102,13,8,0.615,14,'19.7692307692308','67.3846153846154','1.46153846153846',4,2,'754',25,13,83,8,107,0,0,261,236.6,18.2,261
modules/json-c/json_util.c,100,0,0.0,40,0,0.0,12,0,0.0,6,'2.25','13.5',2,3,3,'42',2,12,37,9,16,93,0,93,36.4,2.8,0
modules/json-c/json_visit.c,52,0,0.0,38,0,0.0,2,0,0.0,2,16,'56.5',5,1,1,'98',0,2,6,1,14,0,0,17,34.0,17.0,17
modules/json-c/linkhash.c,188,124,0.66,89,49,0.551,20,11,0.55,1,'6.28571428571429','20.4761904761905','2.14285714285714',3,2,'178',1,21,101,6,163,46,0,46,126.0,6.3,0
modules/json-c/printbuf.c,70,37,0.529,30,9,0.3,7,5,0.7140000000000001,6,'2.42857142857143','15.1428571428571','2.14285714285714',0,1,'27',3,7,27,0,27,42,0,42,23.1,3.3,0
modules/json-c/random_seed.c,22,14,0.636,8,4,0.5,4,3,0.75,1,3,'9.5',1,0,1,'13',0,2,3,0,23,0,0,23,23.0,2.3,23
modules/json-c/vasprintf_compat.h,14,0,0.0,8,0,0.0,1,0,0.0,0,6,34,3,0,1,'34',0,1,1,0,0,0,0,6,6.0,6.0,6
modules/libfabric/include/osx/osd.h,28,16,0.5710000000000001,6,2,0.3329999999999999,11,6,0.545,0,2,'4.04','2.92',0,23,'9',0,25,27,0,0,441,0,441,28.8,1.2,0
modules/libfabric/include/unix/osd.h,41,25,0.61,46,1,0.022,33,9,0.273,0,'2.04761904761905','3.61904761904762','1.80952380952381',0,21,'11',4,21,21,0,0,25,0,25,24.0,1.5,0
modules/libfabric/prov/coll/src/coll_av.c,42,0,0.0,20,0,0.0,2,0,0.0,0,'5.5',29,'2.5',1,2,'45',2,2,8,2,31,1118,0,1118,10.0,5.0,0
modules/libfabric/prov/coll/src/coll_av_set.c,147,0,0.0,60,0,0.0,8,0,0.0,0,'5.25','25.375','2.125',1,8,'57',2,8,12,8,31,1128,0,1128,32.0,4.0,0
modules/libfabric/prov/coll/src/coll_coll.c,737,0,0.0,255,0,0.0,33,0,0.0,1,'6.48484848484848','37.3636363636364','4.03030303030303',1,4,'138',1,33,99,4,98,1247,0,1247,174.9,5.3,0
modules/libfabric/prov/coll/src/coll_cq.c,39,0,0.0,18,0,0.0,2,0,0.0,0,5,'28.5','2.5',0,2,'43',2,2,4,0,31,1117,0,1117,9.0,4.5,0
modules/libfabric/prov/coll/src/coll_domain.c,35,0,0.0,16,0,0.0,2,0,0.0,0,'2.5','27.5',3,1,2,'41',3,2,9,2,31,1117,0,1117,8.0,4.0,0
modules/libfabric/prov/coll/src/coll_ep.c,57,0,0.0,22,0,0.0,4,0,0.0,0,'2.25','21.5','2.75',2,4,'60',5,4,21,8,31,1124,0,1124,12.8,3.2,0
modules/libfabric/prov/coll/src/coll_eq.c,34,0,0.0,18,0,0.0,2,0,0.0,0,5,25,'2.5',1,2,'36',2,2,5,2,31,1117,0,1117,9.0,4.5,0
modules/libfabric/prov/coll/src/coll_fabric.c,27,0,0.0,6,0,0.0,2,0,0.0,0,4,19,2,2,2,'24',2,2,6,4,31,1109,0,1109,5.0,2.5,0
modules/libfabric/prov/coll/src/coll_init.c,11,2,0.182,4,0,0.0,3,1,0.3329999999999999,0,'2.5','7.5','3.5',1,2,'12',2,2,3,2,31,1105,0,1105,4.0,2.0,0
modules/libfabric/prov/hook/dmabuf_peer_mem/src/hook_dmabuf_peer_mem.c,189,4,0.021,61,0,0.0,15,1,0.067,0,'3.92857142857143','22.2142857142857','3.21428571428571',0,4,'73',8,14,33,0,95,0,0,38,39.2,2.8,38
modules/libfabric/prov/hook/hook_debug/src/hook_debug.c,537,30,0.0559999999999999,207,0,0.0,47,1,0.021,0,'3.45652173913043','16.7391304347826','3.91304347826087',0,6,'63',29,46,121,0,42,0,0,45,119.6,2.6,45
modules/libfabric/prov/hook/hook_hmem/src/hook_hmem.c,1130,7,0.006,290,0,0.0,74,1,0.0139999999999999,0,'4.08219178082192','22.2739726027397','5.38356164383562',0,23,'94',17,73,178,0,60,0,0,196,219.0,3.0,196
modules/libfabric/prov/hook/perf/src/hook_perf.c,384,5,0.013,6,0,0.0,49,1,0.02,0,'2.04166666666667','10.8333333333333','4.29166666666667',0,8,'30',11,48,96,0,214,0,0,10,48.0,1.0,10
modules/libfabric/prov/hook/src/hook.c,120,2,0.017,44,0,0.0,10,1,0.1,8,'6.33333333333333','20.3333333333333','2.66666666666667',1,4,'47',5,9,19,4,32,883,0,883,48.6,5.4,0
modules/libfabric/prov/hook/src/hook_av.c,44,0,0.0,4,0,0.0,7,0,0.0,0,'2.28571428571429',10,'5.14285714285714',2,7,'25',1,7,10,14,31,0,0,10,9.1,1.3,10
modules/libfabric/prov/hook/src/hook_cm.c,32,0,0.0,0,0,,9,0,0.0,1,2,'5.88888888888889','3.11111111111111',1,9,'7',1,9,11,9,31,0,0,11,9.0,1.0,11
modules/libfabric/prov/hook/src/hook_cntr.c,57,0,0.0,8,0,0.0,8,0,0.0,0,'2.75','10.25','2.125',2,8,'40',1,8,12,16,31,0,0,14,12.0,1.5,14
modules/libfabric/prov/hook/src/hook_cq.c,65,0,0.0,10,0,0.0,9,0,0.0,0,'2.77777777777778','10.6666666666667',4,2,8,'26',1,9,15,16,31,0,0,15,14.4,1.6,15
modules/libfabric/prov/hook/src/hook_domain.c,113,0,0.0,16,0,0.0,13,0,0.0,6,'2.76923076923077','13.3846153846154','4.15384615384615',1,4,'27',4,13,28,4,35,0,0,20,20.8,1.6,20
modules/libfabric/prov/hook/src/hook_ep.c,157,0,0.0,36,0,0.0,14,0,0.0,0,'3.42857142857143','16.5','4.35714285714286',4,4,'26',1,14,43,16,31,0,0,28,32.2,2.3,28
modules/libfabric/prov/hook/src/hook_eq.c,63,0,0.0,18,0,0.0,9,0,0.0,0,'2.66666666666667','10.6666666666667','3.88888888888889',1,5,'25',1,9,17,5,36,0,0,9,18.0,2.0,9
modules/libfabric/prov/hook/src/hook_wait.c,71,0,0.0,16,0,0.0,7,0,0.0,0,'3.14285714285714','14.2857142857143','2.85714285714286',2,7,'24',2,7,15,14,31,0,0,14,14.7,2.1,14
modules/libfabric/prov/hook/src/hook_xfer.c,183,0,0.0,0,0,,40,0,0.0,1,2,'8.4','6.85',0,40,'15',4,40,40,0,31,0,0,40,40.0,1.0,40
modules/libfabric/prov/hook/trace/src/hook_trace.c,682,4,0.006,282,0,0.0,81,1,0.012,0,'2.2875','13.2','5.5625',0,69,'36',21,80,104,0,42,0,0,40,132.8,1.6,40
