filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC
3rd-party/treematch/fibo.c,69,0,0.0,36,0,0.0,6,0,0.0,1,'3.18181818181818',16.8181818181818,1.36363636363636,3,11,75,0,11,52,33,108,0,198,0,198,36.0,4.0
3rd-party/treematch/IntConstantInitializedVector.c,38,0,0.0,24,0,0.0,4,0,0.0,0,2,9.8,2.2,2,3,15,0,5,28,6,0,0,15,0,15,17.0,3.4
3rd-party/treematch/k-partitioning.c,189,0,0.0,88,0,0.0,11,0,0.0,0,'5.5',28.4166666666667,6.0,4,2,65,0,12,42,8,34,0,71,0,71,55.0,5.0
3rd-party/treematch/PriorityQueue.c,114,0,0.0,40,0,0.0,19,0,0.0,1,'2.47368421052632',7.84210526315789,2.0,8,14,13,0,38,146,112,4,0,33,0,33,39.9,2.1
3rd-party/treematch/tm_bucket.c,364,0,0.0,159,0,0.0,18,0,0.0,1,'4.5',27.7272727272727,2.68181818181818,11,3,145,2,22,116,33,27,1,278,0,278,112.2,5.1
3rd-party/treematch/tm_kpartitioning.c,321,0,0.0,170,0,0.0,16,0,0.0,2,'6.61111111111111',34.8888888888889,4.0,11,1,123,2,18,77,11,145,3,225,3,222,140.0,7.0
3rd-party/treematch/tm_mt.c,64,0,0.0,20,0,0.0,8,0,0.0,5,'2.625',11.625,1.125,0,1,30,4,8,24,0,68,0,14,0,14,17.6,2.2
3rd-party/treematch/tm_thread_pool.c,221,0,0.0,61,0,0.0,16,0,0.0,4,'3.29411764705882',19.2941176470588,1.76470588235294,7,2,62,4,17,95,14,18,0,224,17,207,46.4,2.9
3rd-party/treematch/tm_timings.c,16,0,0.0,6,0,0.0,2,0,0.0,0,2,13.5,1.0,0,1,18,2,2,6,0,0,0,9,0,9,5.0,2.5
3rd-party/treematch/tm_topology.c,501,0,0.0,201,0,0.0,27,0,0.0,5,'4.05714285714286',22.8285714285714,1.94285714285714,5,13,99,1,35,162,65,73,3,369,6,363,136.3,4.7
3rd-party/treematch/tm_tree.c,1150,0,0.0,522,0,0.0,60,0,0.0,64,'5.75714285714286',26.8285714285714,3.68571428571429,15,9,192,4,70,334,135,180,11,507,6,501,381.6,5.3
3rd-party/treematch/tm_verbose.c,21,0,0.0,6,0,0.0,5,0,0.0,0,'2.6',5.0,1.0,0,2,7,2,5,10,0,0,0,9,0,9,8.0,1.6
ompi/attribute/attribute_predefined.c,106,0,0.0,74,0,0.0,10,0,0.0,4,'2.4',17.3,1.2,8,3,35,1,10,35,24,109,0,612,0,612,53.0,5.3
ompi/class/ompi_seq_tracker.c,106,0,0.0,86,0,0.0,5,0,0.0,0,'2.11111111111111',16.3333333333333,2.0,3,9,90,0,9,25,27,32,1,222,0,222,31.0,6.2
ompi/communicator/comm_init.c,270,0,0.0,263,0,0.0,12,0,0.0,32,5,71.7142857142857,1.57142857142857,24,3,127,13,7,140,72,169,0,861,0,861,58.2,9.7
ompi/communicator/ft/comm_ft_reliable_bcast.c,148,0,0.0,116,0,0.0,11,0,0.0,8,5,23.0909090909091,2.09090909090909,17,3,55,5,11,56,51,39,3,693,2,691,48.400000000000006,4.4
ompi/communicator/ft/comm_ft_revoke.c,31,0,0.0,14,0,0.0,4,0,0.0,5,'2.75',15.75,1.25,3,1,26,1,4,15,3,32,0,568,0,568,7.2,1.8
ompi/datatype/ompi_datatype_create.c,57,48,0.8420000000000001,26,11,0.423,3,3,1.0,1,3,14.1666666666667,1.66666666666667,13,5,27,0,6,42,65,28,0,448,0,448,12.0,2.4
ompi/datatype/ompi_datatype_create_contiguous.c,8,8,1.0,4,4,1.0,1,1,1.0,14,2,14.0,3.0,8,1,14,0,1,13,8,20,0,422,0,422,3.0,3.0
ompi/datatype/ompi_datatype_create_darray.c,152,0,0.0,78,0,0.0,3,0,0.0,1,'10.3333333333333',87.3333333333333,10.6666666666667,11,1,125,0,3,26,11,55,0,442,0,442,42.900000000000006,14.3
ompi/datatype/ompi_datatype_create_indexed.c,96,63,0.6559999999999999,44,22,0.5,4,3,0.75,0,6,36.0,5.0,7,4,39,0,4,36,28,29,0,441,0,441,26.0,6.5
ompi/datatype/ompi_datatype_create_struct.c,48,47,0.979,22,19,0.8640000000000001,1,1,1.0,0,10,67.0,5.0,7,1,67,0,1,11,7,28,0,423,0,423,12.0,12.0
ompi/datatype/ompi_datatype_create_subarray.c,37,0,0.0,8,0,0.0,1,0,0.0,0,7,78.0,7.0,8,1,78,0,1,13,8,42,0,429,0,429,5.0,5.0
ompi/datatype/ompi_datatype_create_vector.c,39,18,0.462,32,10,0.312,2,1,0.5,0,5,27.5,5.0,7,2,28,0,2,22,14,23,0,447,0,447,12.0,6.0
ompi/datatype/ompi_datatype_external32.c,12,4,0.3329999999999999,16,0,0.0,2,1,0.5,1,3,10.5,1.0,2,1,11,3,2,9,2,99,0,435,0,435,4.0,2.0
