project_url,commits_last_1_year,commits_last_2_years,commits_last_3_years,commits_last_4_years,commits_last_5_years,tf_commit,median_12_months_commits,median_24_months_commits
https://github.com/open-mpi/ompi,529,581,974,1027,1004,True,46.0,48.5
https://github.com/mfem/mfem,2190,2918,2421,3038,4920,True,193.5,218.0
https://github.com/LLNL/zfp,38,38,121,122,164,True,3.5,2.5
https://github.com/dyninst/dyninst,164,254,165,210,151,False,11.5,13.5
https://github.com/hypre-space/hypre,81,84,142,531,213,True,5.0,5.0
https://github.com/HDFGroup/hdf5,549,827,585,351,653,True,38.5,48.0
https://github.com/AMReX-Codes/amrex,345,431,380,556,890,True,28.0,29.5
https://github.com/pmodels/mpich,1032,972,1114,1726,2057,False,77.5,71.0
https://github.com/LLNL/sundials,196,81,69,107,67,False,9.5,7.0
https://github.com/xiaoyeli/superlu,49,147,68,17,20,True,1.5,3.0
https://github.com/xiaoyeli/superlu_dist,102,219,274,279,196,False,8.5,10.0
https://github.com/pghysels/STRUMPACK,41,165,158,501,408,True,1.0,3.0
https://github.com/diatomic/diy,65,13,42,22,22,True,4.5,2.0
https://github.com/xiaoyeli/superlu_mt,21,7,1,1,0,False,0.0,0.0
