filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
examples/arkode/C_manyvector/ark_brusselator1D_manyvec.c,288,0,0.0,114,0,0.0,5,0,0.0,0,12.8,85.2,3.8,15,1,240,0,5,77,15,120,0,0,210,62.0,12.4,210
examples/arkode/C_serial/ark_advection_diffusion_reaction_splitting.c,168,0,0.0,88,0,0.0,6,0,0.0,0,9.0,44.3333333333333,4.0,18,1,145,0,6,60,18,70,0,0,124,49.8,8.3,124
examples/arkode/C_serial/ark_analytic.c,138,125,0.906,42,24,0.5710000000000001,5,5,1.0,0,5.6,45.8,4.0,15,1,146,0,5,47,15,84,0,0,106,27.0,5.4,106
examples/arkode/C_serial/ark_analytic_lsrk.c,115,0,0.0,44,0,0.0,6,0,0.0,0,5.16666666666667,37.6666666666667,3.83333333333333,10,1,139,0,6,46,10,87,0,0,92,31.8,5.3,92
examples/arkode/C_serial/ark_analytic_lsrk_varjac.c,129,0,0.0,44,0,0.0,6,0,0.0,0,5.16666666666667,41.1666666666667,3.83333333333333,10,1,148,0,6,50,10,95,0,0,101,31.8,5.3,101
examples/arkode/C_serial/ark_analytic_mels.c,146,0,0.0,44,0,0.0,8,0,0.0,0,4.375,31.875,2.625,13,1,127,0,8,54,13,95,0,0,99,31.2,3.9,99
examples/arkode/C_serial/ark_analytic_nonlin.c,73,0,0.0,28,0,0.0,3,0,0.0,0,5.66666666666667,43.6666666666667,2.66666666666667,7,1,92,0,3,19,7,65,0,0,60,17.1,5.7,60
examples/arkode/C_serial/ark_analytic_partitioned.c,113,0,0.0,60,0,0.0,5,0,0.0,0,7.0,37.2,3.2,13,1,132,0,5,42,13,65,0,0,96,35.0,7.0,96
examples/arkode/C_serial/ark_analytic_ssprk.c,92,0,0.0,36,0,0.0,4,0,0.0,0,5.75,45.5,2.5,10,1,125,0,4,34,10,77,0,0,80,24.8,6.2,80
examples/arkode/C_serial/ark_brusselator1D_imexmri.c,738,0,0.0,317,0,0.0,16,0,0.0,0,11.25,74.1875,4.5625,19,1,708,0,16,153,19,264,0,0,379,184.0,11.5,379
