filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
CBLAS/caxpy.c,32,13,0.406,20,8,0.4,1,1,1.0,7,2,73.0,6.0,1,1,73,0,1,4,1,17,0,0,1,9.0,9.0,1
CBLAS/ccopy.c,24,9,0.375,14,5,0.357,1,1,1.0,6,2,59.0,5.0,0,1,59,0,1,1,0,16,0,0,0,8.0,8.0,0
CBLAS/cdotc.c,38,0,0.0,14,0,0.0,1,0,0.0,0,9,75.0,6.0,1,1,75,0,1,4,1,18,0,0,2,8.0,8.0,2
CBLAS/cgemv.c,167,78,0.467,102,40,0.392,1,1,1.0,11,2,344.0,11.0,2,1,344,0,1,5,2,102,0,0,9,51.0,51.0,9
CBLAS/cgerc.c,62,31,0.5,44,18,0.409,1,1,1.0,6,18,184.0,9.0,2,1,184,0,1,5,2,70,0,0,3,22.0,22.0,3
CBLAS/chemv.c,184,0,0.0,82,0,0.0,1,0,0.0,1,31,357.0,10.0,2,1,357,0,1,5,2,100,0,0,8,41.0,41.0,8
CBLAS/cher2.c,198,0,0.0,88,0,0.0,1,0,0.0,1,27,366.0,9.0,2,1,366,0,1,5,2,96,0,0,12,44.0,44.0,12
CBLAS/cscal.c,19,18,0.947,12,9,0.75,1,1,1.0,6,7,54.0,4.0,0,1,54,0,1,3,0,16,0,0,0,7.0,7.0,0
CBLAS/cswap.c,30,0,0.0,14,0,0.0,1,0,0.0,0,9,68.0,5.0,0,1,68,0,1,3,0,21,0,0,0,8.0,8.0,0
CBLAS/ctrsv.c,255,56,0.22,132,33,0.25,1,1,1.0,5,2,441.0,8.0,2,1,441,0,1,6,2,104,0,0,33,66.0,66.0,33
CBLAS/dasum.c,31,22,0.71,36,25,0.6940000000000001,1,1,1.0,2,2,75.0,3.0,0,1,75,0,1,1,0,18,0,0,0,10.0,10.0,0
CBLAS/daxpy.c,38,21,0.5529999999999999,22,11,0.5,1,1,1.0,6,2,81.0,6.0,0,1,81,0,1,1,0,19,0,0,0,12.0,12.0,0
CBLAS/dcabs1.c,4,4,1.0,4,4,1.0,1,1,1.0,5,2,16.0,1.0,0,1,16,0,1,3,0,7,0,0,0,1.0,1.0,0
CBLAS/dcopy.c,39,32,0.821,20,14,0.7,1,1,1.0,11,2,81.0,5.0,0,1,81,0,1,1,0,19,0,0,0,11.0,11.0,0
CBLAS/ddot.c,38,0,0.0,20,0,0.0,1,0,0.0,0,14,84.0,5.0,0,1,84,0,1,1,0,19,0,0,0,11.0,11.0,0
CBLAS/dgemv.c,108,59,0.546,78,37,0.474,1,1,1.0,9,2,273.0,11.0,1,1,273,0,1,2,1,97,0,0,6,39.0,39.0,6
CBLAS/dger.c,50,25,0.5,38,18,0.474,1,1,1.0,4,18,166.0,9.0,1,1,166,0,1,2,1,69,0,0,1,19.0,19.0,1
CBLAS/dnrm2.c,27,22,0.815,16,10,0.625,1,1,1.0,0,2,71.0,3.0,0,1,71,0,1,1,0,24,0,0,1,7.0,7.0,1
CBLAS/drot.c,28,0,0.0,14,0,0.0,1,0,0.0,1,9,64.0,7.0,0,1,64,0,1,1,0,16,0,0,0,8.0,8.0,0
CBLAS/dscal.c,28,27,0.964,18,15,0.833,1,1,1.0,7,11,70.0,4.0,0,1,70,0,1,1,0,19,0,0,0,10.0,10.0,0
CBLAS/dswap.c,47,0,0.0,20,0,0.0,1,0,0.0,0,13,95.0,5.0,0,1,95,0,1,1,0,26,0,0,0,11.0,11.0,0
CBLAS/dsymv.c,113,0,0.0,70,0,0.0,1,0,0.0,1,31,277.0,10.0,1,1,277,0,1,2,1,97,0,0,4,35.0,35.0,4
CBLAS/dsyr2.c,90,0,0.0,70,0,0.0,1,0,0.0,1,27,244.0,9.0,1,1,244,0,1,2,1,92,0,0,4,35.0,35.0,4
CBLAS/dtrsv.c,144,40,0.278,100,31,0.31,1,1,1.0,5,2,317.0,8.0,1,1,317,0,1,2,1,99,0,0,12,50.0,50.0,12
CBLAS/dzasum.c,20,12,0.6,10,5,0.5,1,1,1.0,1,2,56.0,3.0,1,1,56,0,1,2,1,16,0,0,2,6.0,6.0,2
CBLAS/dznrm2.c,35,31,0.8859999999999999,18,14,0.778,1,1,1.0,0,2,88.0,3.0,1,1,88,0,1,2,1,26,0,0,3,8.0,8.0,3
CBLAS/icamax.c,32,17,0.531,44,19,0.432,1,1,1.0,2,12,62.0,3.0,1,1,62,0,1,2,1,12,0,0,6,9.0,9.0,6
CBLAS/idamax.c,29,16,0.552,28,14,0.5,1,1,1.0,3,12,69.0,3.0,0,1,69,0,1,1,0,15,0,0,0,9.0,9.0,0
CBLAS/isamax.c,29,16,0.552,28,14,0.5,1,1,1.0,3,12,69.0,3.0,0,1,69,0,1,1,0,15,0,0,0,9.0,9.0,0
CBLAS/izamax.c,29,16,0.552,16,8,0.5,1,1,1.0,2,12,70.0,3.0,1,1,70,0,1,2,1,15,0,0,6,9.0,9.0,6
CBLAS/sasum.c,31,22,0.71,36,25,0.6940000000000001,1,1,1.0,2,2,76.0,3.0,0,1,76,0,1,1,0,19,0,0,0,10.0,10.0,0
CBLAS/saxpy.c,38,21,0.5529999999999999,22,11,0.5,1,1,1.0,6,2,81.0,6.0,0,1,81,0,1,1,0,19,0,0,0,12.0,12.0,0
CBLAS/scasum.c,21,13,0.619,20,9,0.45,1,1,1.0,1,2,60.0,3.0,1,1,60,0,1,2,1,18,0,0,2,7.0,7.0,2
CBLAS/scnrm2.c,35,31,0.8859999999999999,18,14,0.778,1,1,1.0,0,2,87.0,3.0,1,1,87,0,1,2,1,26,0,0,3,8.0,8.0,3
CBLAS/scopy.c,39,32,0.821,20,14,0.7,1,1,1.0,7,2,81.0,5.0,0,1,81,0,1,1,0,19,0,0,0,11.0,11.0,0
CBLAS/sdot.c,38,0,0.0,20,0,0.0,1,0,0.0,0,14,83.0,5.0,0,1,83,0,1,1,0,19,0,0,0,11.0,11.0,0
CBLAS/sgemv.c,108,59,0.546,78,37,0.474,1,1,1.0,9,2,276.0,11.0,1,1,276,0,1,2,1,97,0,0,6,39.0,39.0,6
CBLAS/sger.c,50,25,0.5,38,18,0.474,1,1,1.0,4,18,167.0,9.0,1,1,167,0,1,2,1,69,0,0,1,19.0,19.0,1
CBLAS/snrm2.c,27,22,0.815,16,10,0.625,1,1,1.0,0,2,77.0,3.0,0,1,77,0,1,1,0,24,0,0,1,7.0,7.0,1
CBLAS/srot.c,28,0,0.0,14,0,0.0,1,0,0.0,1,9,64.0,7.0,0,1,64,0,1,1,0,16,0,0,0,8.0,8.0,0
CBLAS/sscal.c,28,27,0.964,18,15,0.833,1,1,1.0,7,11,69.0,4.0,0,1,69,0,1,1,0,19,0,0,0,10.0,10.0,0
