filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC
CBLAS/dasum.c,35,0,0.0,36,0,0.0,1,0,0.0,2,12.0,79.0,3.0,2,1,79,0,1,4,2,18,0,0,0,0,10.0,10.0
CBLAS/daxpy.c,41,0,0.0,22,0,0.0,1,0,0.0,0,14.0,85.0,6.0,2,1,85,0,1,4,2,19,0,0,0,0,12.0,12.0
CBLAS/dcabs1.c,4,0,0.0,4,0,0.0,1,0,0.0,3,2.0,16.0,1.0,1,1,16,0,1,3,1,7,0,0,0,0,1.0,1.0
CBLAS/dcopy.c,42,0,0.0,20,0,0.0,1,0,0.0,0,13.0,85.0,5.0,2,1,85,0,1,4,2,19,0,0,0,0,11.0,11.0
CBLAS/ddot.c,41,0,0.0,20,0,0.0,1,0,0.0,0,14.0,88.0,5.0,2,1,88,0,1,4,2,19,0,0,0,0,11.0,11.0
CBLAS/dgemm.c,140,47,0.336,110,34,0.309,1,1,1.0,0,47.0,384.0,13.0,3,1,384,0,1,6,3,128,7,0,0,7,54.0,54.0
CBLAS/dgemv.c,120,0,0.0,78,0,0.0,1,0,0.0,0,35.0,289.0,11.0,3,1,289,0,1,6,3,97,6,0,0,6,39.0,39.0
CBLAS/dger.c,54,27,0.5,38,19,0.5,1,1,1.0,0,18.0,173.0,9.0,3,1,173,0,1,6,3,69,1,0,0,1,19.0,19.0
CBLAS/dnrm2.c,25,0,0.0,18,0,0.0,1,0,0.0,0,7.0,74.0,3.0,1,1,74,0,1,2,1,22,1,0,0,1,8.0,8.0
CBLAS/drot.c,30,0,0.0,14,0,0.0,1,0,0.0,0,9.0,67.0,7.0,2,1,67,0,1,3,2,16,0,0,0,0,8.0,8.0
CBLAS/dscal.c,32,0,0.0,18,0,0.0,1,0,0.0,0,11.0,74.0,4.0,2,1,74,0,1,4,2,19,0,0,0,0,10.0,10.0
CBLAS/dsymv.c,125,0,0.0,70,0,0.0,1,0,0.0,0,31.0,290.0,10.0,3,1,290,0,1,5,3,97,4,0,0,4,35.0,35.0
CBLAS/dsyr2.c,98,0,0.0,70,0,0.0,1,0,0.0,0,27.0,254.0,9.0,3,1,254,0,1,5,3,92,4,0,0,4,35.0,35.0
CBLAS/dtrsm.c,227,81,0.357,164,61,0.372,1,1,1.0,0,77.0,472.0,11.0,3,1,472,0,1,6,3,136,13,0,0,13,81.0,81.0
CBLAS/dtrsv.c,154,31,0.201,100,23,0.23,1,1,1.0,0,2.0,328.0,8.0,3,1,328,0,1,5,3,99,12,0,0,12,50.0,50.0
CBLAS/dzasum.c,22,0,0.0,10,0,0.0,1,0,0.0,2,7.0,59.0,3.0,3,1,59,0,1,4,3,16,2,0,0,2,6.0,6.0
CBLAS/dznrm2.c,35,0,0.0,20,0,0.0,1,0,0.0,0,8.0,87.0,3.0,2,1,87,0,1,3,2,24,3,0,0,3,9.0,9.0
CBLAS/idamax.c,31,0,0.0,28,0,0.0,1,0,0.0,0,12.0,71.0,3.0,2,1,71,0,1,3,2,15,0,0,0,0,9.0,9.0
CBLAS/input_error_dist.c,4,0,0.0,0,0,,1,0,0.0,31,2.0,6.0,2.0,0,1,6,0,1,1,0,30,2,0,0,2,1.0,1.0
CBLAS/isamax.c,31,0,0.0,28,0,0.0,1,0,0.0,0,12.0,71.0,3.0,2,1,71,0,1,3,2,15,0,0,0,0,9.0,9.0
CBLAS/izamax.c,31,0,0.0,16,0,0.0,1,0,0.0,0,12.0,72.0,3.0,3,1,72,0,1,4,3,15,6,0,0,6,9.0,9.0
CBLAS/sasum.c,35,0,0.0,36,0,0.0,1,0,0.0,0,12.0,80.0,3.0,2,1,80,0,1,4,2,19,0,0,0,0,10.0,10.0
CBLAS/saxpy.c,41,0,0.0,22,0,0.0,1,0,0.0,0,14.0,85.0,6.0,2,1,85,0,1,4,2,19,0,0,0,0,12.0,12.0
CBLAS/scopy.c,42,0,0.0,20,0,0.0,1,0,0.0,0,13.0,85.0,5.0,2,1,85,0,1,4,2,19,0,0,0,0,11.0,11.0
CBLAS/sdot.c,41,0,0.0,20,0,0.0,1,0,0.0,0,14.0,87.0,5.0,2,1,87,0,1,4,2,19,0,0,0,0,11.0,11.0
CBLAS/sgemm.c,140,47,0.336,110,34,0.309,1,1,1.0,0,47.0,375.0,13.0,3,1,375,0,1,6,3,128,7,0,0,7,54.0,54.0
CBLAS/sgemv.c,120,0,0.0,78,0,0.0,1,0,0.0,0,35.0,289.0,11.0,3,1,289,0,1,6,3,97,6,0,0,6,39.0,39.0
CBLAS/sger.c,54,27,0.5,38,19,0.5,1,1,1.0,0,18.0,172.0,9.0,3,1,172,0,1,6,3,69,1,0,0,1,19.0,19.0
CBLAS/snrm2.c,25,0,0.0,18,0,0.0,1,0,0.0,0,7.0,74.0,3.0,1,1,74,0,1,2,1,22,1,0,0,1,8.0,8.0
CBLAS/srot.c,30,0,0.0,14,0,0.0,1,0,0.0,0,9.0,67.0,7.0,2,1,67,0,1,3,2,16,0,0,0,0,8.0,8.0
CBLAS/sscal.c,32,0,0.0,18,0,0.0,1,0,0.0,0,11.0,73.0,4.0,2,1,73,0,1,4,2,19,0,0,0,0,10.0,10.0
CBLAS/ssymv.c,125,0,0.0,70,0,0.0,1,0,0.0,0,31.0,290.0,10.0,3,1,290,0,1,5,3,97,4,0,0,4,35.0,35.0
CBLAS/ssyr2.c,98,0,0.0,70,0,0.0,1,0,0.0,0,27.0,253.0,9.0,3,1,253,0,1,5,3,92,4,0,0,4,35.0,35.0
CBLAS/strsm.c,227,81,0.357,164,61,0.372,1,1,1.0,0,77.0,472.0,11.0,3,1,472,0,1,6,3,136,13,0,0,13,81.0,81.0
CBLAS/strsv.c,154,31,0.201,100,23,0.23,1,1,1.0,0,2.0,328.0,8.0,3,1,328,0,1,5,3,99,12,0,0,12,50.0,50.0
CBLAS/z_internal.c,27,21,0.778,8,8,1.0,3,1,0.3329999999999999,11,3.33333333333333,12.0,2.0,2,3,27,0,3,9,6,3,5,0,0,5,6.9,2.3
CBLAS/zaxpy.c,40,0,0.0,16,0,0.0,1,0,0.0,0,10.0,78.0,6.0,4,1,78,0,1,6,4,16,1,0,0,1,9.0,9.0
CBLAS/zcopy.c,30,0,0.0,14,0,0.0,1,0,0.0,0,9.0,65.0,5.0,2,1,65,0,1,3,2,16,0,0,0,0,8.0,8.0
CBLAS/zgemm.c,396,61,0.154,204,36,0.176,1,1,1.0,0,76.0,680.0,13.0,5,1,680,0,1,9,5,153,13,0,0,13,102.0,102.0
CBLAS/zgemv.c,207,0,0.0,102,0,0.0,1,0,0.0,0,39.0,390.0,11.0,5,1,390,0,1,9,5,102,9,0,0,9,51.0,51.0
CBLAS/zgerc.c,74,0,0.0,44,0,0.0,1,0,0.0,0,18.0,197.0,9.0,5,1,197,0,1,9,5,70,3,0,0,3,22.0,22.0
CBLAS/zgeru.c,74,37,0.5,44,21,0.477,1,1,1.0,0,18.0,194.0,9.0,4,1,194,0,1,8,4,69,1,0,0,1,22.0,22.0
CBLAS/zhemv.c,238,0,0.0,82,0,0.0,1,0,0.0,0,31.0,411.0,10.0,5,1,411,0,1,8,5,100,8,0,0,8,41.0,41.0
CBLAS/zher2.c,258,0,0.0,88,0,0.0,1,0,0.0,0,27.0,427.0,9.0,5,1,427,0,1,8,5,96,12,0,0,12,44.0,44.0
CBLAS/zscal.c,26,0,0.0,10,0,0.0,1,0,0.0,0,7.0,61.0,4.0,3,1,61,0,1,5,3,16,0,0,0,0,6.0,6.0
CBLAS/ztrsm.c,415,62,0.149,210,38,0.181,1,1,1.0,0,87.0,678.0,11.0,5,1,678,1,1,11,5,142,34,0,0,34,104.0,104.0
CBLAS/ztrsv.c,313,41,0.131,132,24,0.182,1,1,1.0,0,2.0,500.0,8.0,5,1,500,0,1,9,5,104,33,0,0,33,66.0,66.0
EXAMPLE/dcreate_matrix3d.c,291,86,0.296,126,32,0.254,3,1,0.3329999999999999,5,2.0,196.333333333333,9.66666666666667,7,3,264,0,3,84,21,191,209,0,0,209,78.0,26.0
EXAMPLE/dcreate_matrix.c,210,105,0.5,96,39,0.406,2,1,0.5,0,11.0,201.0,8.5,8,2,232,0,2,59,16,162,163,0,0,163,59.0,29.5
EXAMPLE/dcreate_matrix_perturbed.c,182,82,0.451,82,30,0.366,2,1,0.5,2,22.5,176.0,8.5,7,2,186,0,2,54,14,114,149,0,0,149,51.0,25.5
EXAMPLE/pddrive1.c,132,104,0.7879999999999999,50,32,0.64,2,1,0.5,0,15.5,137.0,1.0,12,1,256,0,2,44,12,94,127,0,0,127,36.0,18.0
EXAMPLE/pddrive1_ABglobal.c,107,99,0.925,34,25,0.735,2,2,1.0,0,11.5,120.5,1.0,8,1,223,0,2,38,8,92,130,0,0,130,26.0,13.0
EXAMPLE/pddrive2.c,108,87,0.8059999999999999,38,24,0.632,2,1,0.5,0,13.0,128.5,1.0,11,1,239,0,2,42,11,91,116,0,0,116,32.0,16.0
EXAMPLE/pddrive2_ABglobal.c,112,105,0.938,38,29,0.763,2,2,1.0,0,12.5,128.5,1.0,8,1,239,0,2,38,8,97,134,0,0,134,28.0,14.0
EXAMPLE/pddrive3.c,124,102,0.823,46,32,0.696,2,1,0.5,0,14.5,131.5,1.0,9,1,245,0,2,47,9,98,117,0,0,117,33.0,16.5
EXAMPLE/pddrive3_ABglobal.c,111,104,0.937,38,29,0.763,2,2,1.0,0,12.5,129.0,1.0,8,1,240,0,2,38,8,103,133,0,0,133,28.0,14.0
EXAMPLE/pddrive3d1.c,162,113,0.698,70,38,0.5429999999999999,2,1,0.5,0,13.5,101.0,2.5,13,2,340,0,4,55,26,121,155,0,0,155,58.0,14.5
EXAMPLE/pddrive3d2.c,157,110,0.701,64,33,0.516,2,1,0.5,0,12.5,95.0,2.5,11,3,316,0,4,53,33,112,154,0,0,154,52.8,13.2
EXAMPLE/pddrive3d3.c,161,114,0.708,66,34,0.515,2,1,0.5,0,12.75,94.75,2.5,10,3,315,0,4,53,30,119,156,0,0,156,54.0,13.5
EXAMPLE/pddrive3d.c,208,99,0.476,77,29,0.377,2,1,0.5,0,16.25,135.25,2.5,16,2,477,0,4,64,32,130,179,0,0,179,72.8,18.2
