filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC
include/zfp/array.hpp,6,6,1.0,0,0,,2,2,1.0,13,3.30769230769231,11.8461538461538,0.846153846153846,5,4,109,6,13,49,20,0,5467,0,0,5467,10.8,1.2
include/zfp/internal/array/exception.hpp,2,0,0.0,0,0,,2,0,0.0,0,2.0,1.0,0.5,0,2,1,0,2,2,0,0,5360,0,0,5360,2.0,1.0
include/zfp/internal/array/memory.hpp,35,28,0.8,8,5,0.625,21,21,1.0,4,2.63636363636364,11.3636363636364,2.63636363636364,1,4,32,0,11,25,4,0,3717,0,0,3717,27.5,2.5
include/zfp/internal/array/store1.hpp,44,33,0.75,20,6,0.3,26,22,0.846,2,2.0,5.0,1.1875,0,16,12,2,16,16,0,0,2,0,0,2,19.2,1.2
include/zfp/internal/array/store2.hpp,49,38,0.7759999999999999,24,8,0.3329999999999999,28,24,0.857,2,2.0,5.11764705882353,1.47058823529412,0,17,14,4,17,17,0,0,2,0,0,2,20.4,1.2
include/zfp/internal/array/store3.hpp,54,43,0.7959999999999999,28,10,0.357,30,26,0.867,2,2.0,5.22222222222222,1.72222222222222,0,18,16,6,18,18,0,0,2,0,0,2,23.4,1.3
include/zfp/internal/array/store4.hpp,59,48,0.8140000000000001,32,12,0.375,32,28,0.875,2,2.0,5.31578947368421,1.94736842105263,0,19,18,8,19,19,0,0,2,0,0,2,24.7,1.3
include/zfp/internal/array/store.hpp,98,47,0.48,464,72,0.155,146,67,0.4589999999999999,12,2.0,5.63333333333333,0.633333333333333,0,30,25,5,30,30,0,0,351,0,0,351,43.2,1.6
src/template/codec.c,2,2,1.0,0,0,,1,1,1.0,0,2.0,4.0,3.0,0,1,4,0,1,1,0,1,0,0,0,0,1.0,1.0
src/template/codecf.c,10,10,1.0,8,6,0.75,5,5,1.0,0,2.33333333333333,7.0,2.66666666666667,3,2,9,0,3,8,6,5,302,0,0,302,5.1,1.7
src/template/compress.c,71,56,0.789,328,78,0.238,20,8,0.4,0,5.5,19.0,3.0,5,1,25,0,2,29,5,10,0,0,0,0,37.0,7.4
src/template/decode1.c,19,3,0.158,4,0,0.0,18,2,0.111,0,2.4,7.0,3.0,3,3,9,0,5,18,9,12,0,0,0,0,7.0,1.4
src/template/decode2.c,24,15,0.625,12,8,0.667,18,6,0.3329999999999999,0,3.2,8.4,3.0,3,3,10,0,5,24,9,13,0,0,0,0,11.0,2.2
src/template/decode3.c,31,21,0.677,24,18,0.75,18,6,0.3329999999999999,0,4.4,10.0,3.0,3,3,16,0,5,29,9,14,0,0,0,0,17.0,3.4
src/template/decode4.c,40,29,0.725,40,32,0.8,18,6,0.3329999999999999,0,6.0,12.0,3.0,4,3,24,0,5,34,12,15,0,0,0,0,25.0,5.0
src/template/decode.c,128,128,1.0,94,92,0.979,24,24,1.0,0,5.4,26.7,2.2,5,2,52,0,10,55,10,69,0,0,0,0,60.0,6.0
src/template/decodef.c,18,18,1.0,10,9,0.9,16,16,1.0,0,3.5,19.5,3.0,3,1,35,0,2,9,3,9,0,0,0,0,6.0,3.0
src/template/decodei.c,2,0,0.0,2,0,0.0,8,0,0.0,0,2.0,10.0,3.0,1,1,10,0,1,2,1,2,0,0,0,0,2.0,2.0
src/template/decompress.c,71,56,0.789,328,78,0.238,20,8,0.4,0,5.5,19.0,3.0,5,1,25,0,2,29,5,10,0,0,0,0,37.0,7.4
src/template/encode1.c,18,10,0.556,4,2,0.5,18,6,0.3329999999999999,0,2.4,6.8,3.0,3,3,8,0,5,18,9,12,0,0,0,0,7.0,1.4
src/template/encode2.c,26,14,0.5379999999999999,14,8,0.5710000000000001,18,6,0.3329999999999999,0,3.4,8.8,3.0,3,3,11,0,5,24,9,13,0,0,0,0,12.0,2.4
src/template/encode3.c,37,20,0.541,30,18,0.6,18,6,0.3329999999999999,0,5.0,11.2,3.0,3,3,16,0,5,29,9,14,0,0,0,0,20.0,4.0
src/template/encode4.c,51,28,0.5489999999999999,52,32,0.615,18,6,0.3329999999999999,0,7.2,14.2,3.0,4,3,24,0,5,34,12,15,0,0,0,0,31.0,6.2
src/template/encode.c,130,122,0.938,91,84,0.923,28,24,0.857,0,5.18181818181818,22.3636363636364,2.18181818181818,6,7,41,0,11,55,42,52,0,0,0,0,60.5,5.5
src/template/encodef.c,42,37,0.8809999999999999,20,14,0.7,24,24,1.0,0,3.16666666666667,13.0,2.5,3,2,28,0,6,20,6,19,302,0,0,302,16.200000000000003,2.7
src/template/encodei.c,4,0,0.0,4,0,0.0,8,0,0.0,0,3.0,15.0,3.0,2,1,15,0,1,3,2,3,0,0,0,0,3.0,3.0
